THEME|DESCRIPTION|2_CLASSES|5_CLASSES|LABEL_1|LABEL_2|LABEL_3|LABEL_4
Réactivation de compte client|Assistance pour réactiver un compte désactivé.|Support client opérationnel|Assistance technique et support immédiat|Compte|Client|Assistance|Désactivé
Guide des tailles détaillé|Demande d'informations précises sur les guides des tailles.|Informations et services spécialisés|Conseils et informations produits|Taille|Détaillé|Information|Précis
Demande de conseils d'entretien spécifiques|Conseils pour l'entretien de produits délicats.|Informations et services spécialisés|Conseils et informations produits|Spécifique|Conseil|Produit|Délicat
Questions sur les éditions limitées|Informations sur la disponibilité et la sortie de collections en édition limitée.|Informations et services spécialisés|Engagements, événements et initiatives|Édition|Limitée|Disponibilité|Collection
Renseignements sur la mode éthique|Questions sur les engagements éthiques et les certifications de la marque.|Informations et services spécialisés|Engagements, événements et initiatives|Mode|Éthique|Engagement|Certification
Demande de suivi après retour|Suivi d'un remboursement ou d'un échange après un retour.|Informations et services spécialisés|Services exclusifs, programmes et personnalisations|Retour|Remboursement|Échange|Processus
Informations sur les collaborations artistiques|Détails sur les partenariats avec des artistes ou designers.|Informations et services spécialisés|Engagements, événements et initiatives|Collaboration|Artistique|Partenariat|Créatif
Demande d'informations sur les précommandes|Comment fonctionnent les précommandes pour les articles très demandés.|Informations et services spécialisés|Engagements, événements et initiatives|Article|Fonctionnement|Disponible|Demandé
Problèmes avec la newsletter|Non réception ou problèmes d'inscription à la newsletter.|Support client opérationnel|Assistance technique et support immédiat|Newsletter|Inscription|Non-reçu|Correction
Demande d'ajout d'articles au panier|Assistance pour ajouter des articles spécifiques au panier d'achat.|Informations et services spécialisés|Services exclusifs, programmes et personnalisations|Article|Panier|Assistance|Spécifique
Informations sur les tendances actuelles|Conseils sur les tendances de mode actuelles et à venir.|Informations et services spécialisés|Services exclusifs, programmes et personnalisations|Actuelle|Mode|Conseil|À venir
Demande de packaging écoresponsable|Préférence pour un emballage respectueux de l'environnement.|Informations et services spécialisés|Engagements, événements et initiatives|Écoresponsable|Préférence|Emballage|Durable
Questions sur la politique de confidentialité|Clarifications sur l'utilisation et la protection des données personnelles.|Informations et services spécialisés|Services exclusifs, programmes et personnalisations|Confidentialité|Donnée|Protection|Usage
Problèmes de navigation sur le site|Difficultés rencontrées lors de la navigation sur le site web.|Support client opérationnel|Assistance technique et support immédiat|Site|Difficulté|Interface|Utilisateur
Demande de conseils pour les retours|Meilleures pratiques et conseils pour retourner efficacement un produit.|Informations et services spécialisés|Services exclusifs, programmes et personnalisations|Retour|Pratique|Efficace|Simple
Demande de garantie pour les produits|Informations sur la garantie offerte sur les vêtements et accessoires.|Informations et services spécialisés|Services exclusifs, programmes et personnalisations|Produit|Information|Accessoire|Offre
Questions sur les options de personnalisation|Possibilités de personnalisation des produits pour des cadeaux ou occasions spéciales.|Informations et services spécialisés|Services exclusifs, programmes et personnalisations|Option|Cadeau|Spécial|Produit
Renseignements sur les ventes privées|Accès et informations sur les ventes privées exclusives aux membres.|Informations et services spécialisés|Services exclusifs, programmes et personnalisations|Privée|Membre|Exclusif|Accès
Demande de participation à des événements de la marque|Comment participer à des événements ou des shows organisés par ELEGANA.|Informations et services spécialisés|Services exclusifs, programmes et personnalisations|Marque|Participation|Organisation|Show
Questions sur les matériaux innovants|Curiosité sur l'utilisation de matériaux nouveaux ou révolutionnaires.|Informations et services spécialisés|Conseils et informations produits|Innovant|Utilisation|Révolutionnaire|Curiosité
Demande de conseils pour combiner les articles|Aide pour créer des tenues complètes à partir du catalogue.|Informations et services spécialisés|Conseils et informations produits|Combinaison|Article|Tenue|Mode
Problèmes de compte de fidélité|Questions ou problèmes liés au compte de fidélité et aux points accumulés.|Informations et services spécialisés|Services exclusifs, programmes et personnalisations|Fidélité|Compte|Point|Avantage
Demande de remplacement d'articles défectueux|Procédure pour remplacer un produit défectueux sans passer par un retour classique.|Informations et services spécialisés|Services exclusifs, programmes et personnalisations|Article|Défectueux|Procédure|Produit
Informations sur les limitations d'expédition|Restrictions ou limitations pour l'expédition dans certaines régions ou pays.|Informations et services spécialisés|Services exclusifs, programmes et personnalisations|Expédition|Région|Restriction|Information
Demande de conseils pour les achats de groupe|Conseils pour effectuer des achats groupés (pour des événements, mariages, etc.).|Informations et services spécialisés|Conseils et informations produits|Achat|Groupe|Événement|Mariage
Questions sur les exclusivités web|Détails sur les produits uniquement disponibles en ligne et non en magasin.|Informations et services spécialisés|Engagements, événements et initiatives|Web|Produit|Disponibilité|Détail
Demande de réservation d'articles|Possibilité de réserver certains articles avant achat.|Informations et services spécialisés|Services exclusifs, programmes et personnalisations|Article|Possibilité|Achat|Préalable
Problèmes de livraison express|Difficultés ou retards avec l'option de livraison express.|Informations et services spécialisés|Services exclusifs, programmes et personnalisations|Livraison|Express|Retard|Difficulté
